'Fe','form'
20.5,1
28.100000381469727,1
27.799999237060547,1
27,1
28,1
25.200000762939453,1
25.299999237060547,1
27.100000381469727,1
20.5,1
31.299999237060547,1
26.299999237060547,2
24,2
26.200000762939453,2
20.200000762939453,2
23.700000762939453,2
34,2
17.100000381469727,2
26.799999237060547,2
23.700000762939453,2
24.899999618530273,2
29.5,3
34,3
27.5,3
29.399999618530273,3
27.899999618530273,3
26.200000762939453,3
29.899999618530273,3
29.5,3
30,3
35.599998474121094,3
36.5,4
44.20000076293945,4
34.099998474121094,4
30.299999237060547,4
31.399999618530273,4
33.099998474121094,4
34.099998474121094,4
32.900001525878906,4
36.29999923706055,4
25.5,4
